Hash,Name,Category Name,Year,File,Resolution,Language,Subtitled,URL,Image,Adult,Genre,Overview,Original Title,Original Language,Release Date,Popularity,Certification Average,Certification Category,Published Date
1eef9e77a3,The Parenting,PELICULAS,2025,Escapada de espanto (2025) WEB-DL 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Escapada de espanto/Escapada de espanto (2025) WEB-DL 1080p Latino.mp4,https://image.tmdb.org/t/p/original/5lMu14IMuHo0hKYCwCIogt7IioX.jpg,false,"Terror,Comedia","Josh y Rohan, una pareja de novios, organizan una escapada de fin de semana para presentar a sus padres.",The Parenting,en,2025-03-12,16.35,16,13+,2025-03-14T15:51:37.610Z
1eef9e77a3,The Parenting,PELICULAS,2025,Escapada de espanto (2025) WEB-DL 1080p SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Escapada de espanto/Escapada de espanto (2025) WEB-DL 1080p SUB.mp4,https://image.tmdb.org/t/p/original/5lMu14IMuHo0hKYCwCIogt7IioX.jpg,false,"Terror,Comedia","Josh y Rohan, una pareja de novios, organizan una escapada de fin de semana para presentar a sus padres.",The Parenting,en,2025-03-12,16.35,16,13+,2025-03-14T15:51:37.610Z
52e4348efa,Detained,PELICULAS,2024,Bajo custodia (2024) WEB-DL LIGERO 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Detained/Bajo custodia (2024) WEB-DL LIGERO 1080p Latino.mp4,https://image.tmdb.org/t/p/original/dtIWcxnueqEOg2WhIk4cHjtv41D.jpg,false,"Suspense,Misterio,Crimen",,Detained,en,2024-08-08,0.954,15,13+,2025-03-14T15:51:39.386Z
52e4348efa,Detained,PELICULAS,2024,Bajo custodia (2024) WEB-DL LIGERO 1080p SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Detained/Bajo custodia (2024) WEB-DL LIGERO 1080p SUB.mp4,https://image.tmdb.org/t/p/original/dtIWcxnueqEOg2WhIk4cHjtv41D.jpg,false,"Suspense,Misterio,Crimen",,Detained,en,2024-08-08,0.954,15,13+,2025-03-14T15:51:39.386Z
7d681b19bc,Lazareth,PELICULAS,2024,El último refugio (2024) WEB-DL LIGERO 1080p Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Lazareth/El último refugio (2024) WEB-DL LIGERO 1080p Latino.mp4,https://image.tmdb.org/t/p/original/36o8ancoKDKW1sstzMi0YYkQkpU.jpg,false,Suspense,,Lazareth,en,2024-05-10,1.78,15,13+,2025-03-14T15:51:41.046Z
7d681b19bc,Lazareth,PELICULAS,2024,El último refugio (2024) WEB-DL LIGERO 1080p SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Lazareth/El último refugio (2024) WEB-DL LIGERO 1080p SUB.mp4,https://image.tmdb.org/t/p/original/36o8ancoKDKW1sstzMi0YYkQkpU.jpg,false,Suspense,,Lazareth,en,2024-05-10,1.78,15,13+,2025-03-14T15:51:41.046Z
6e3e635ff4,Juego de Sacrificio,PELICULAS,2023,Juego de sacrificio (2023) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/The Sacrifice Game/Juego de sacrificio (2023) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/6w9Wphe5O5zySyoGxlYJ5irwh4f.jpg,false,"Terror,Suspense","Ya es bastante malo que las estudiantes del internado Samantha y Clara no puedan volver a casa durante las vacaciones, pero las cosas toman un giro mortal cuando una pandilla asesina llega a su puerta, justo a tiempo para la Navidad.",The Sacrifice Game,en,2023-12-07,2.278,11,10+,2025-03-14T15:51:47.497Z
6e3e635ff4,Juego de Sacrificio,PELICULAS,2023,Juego de sacrificio (2023) 1080p WEB-DL SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/The Sacrifice Game/Juego de sacrificio (2023) 1080p WEB-DL SUB.mp4,https://image.tmdb.org/t/p/original/6w9Wphe5O5zySyoGxlYJ5irwh4f.jpg,false,"Terror,Suspense","Ya es bastante malo que las estudiantes del internado Samantha y Clara no puedan volver a casa durante las vacaciones, pero las cosas toman un giro mortal cuando una pandilla asesina llega a su puerta, justo a tiempo para la Navidad.",The Sacrifice Game,en,2023-12-07,2.278,11,10+,2025-03-14T15:51:47.497Z
e7255e84d1,The Locksmith,PELICULAS,2023,La clave del problema (2023) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/The Locksmith/La clave del problema (2023) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/kNQ9Z3TQ5vU5fvwuHqZvLooFcCI.jpg,false,"Suspense,Misterio,Acción,Crimen,Drama","Un ladrón recién salido de la cárcel, intenta volver a la vida de su hija y ex prometida. Decidido, se ve obligado a usar las habilidades que tiene como cerrajero talentoso. Las cosas toman un giro tumultuoso después de una desaparición inesperada.",The Locksmith,en,2023-02-03,2.43,15,13+,2025-03-14T15:51:49.282Z
e7255e84d1,The Locksmith,PELICULAS,2023,La clave del problema (2023) 1080p WEB-DLSUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/The Locksmith/La clave del problema (2023) 1080p WEB-DLSUB.mp4,https://image.tmdb.org/t/p/original/kNQ9Z3TQ5vU5fvwuHqZvLooFcCI.jpg,false,"Suspense,Misterio,Acción,Crimen,Drama","Un ladrón recién salido de la cárcel, intenta volver a la vida de su hija y ex prometida. Decidido, se ve obligado a usar las habilidades que tiene como cerrajero talentoso. Las cosas toman un giro tumultuoso después de una desaparición inesperada.",The Locksmith,en,2023-02-03,2.43,15,13+,2025-03-14T15:51:49.282Z
6254ff4415,Piper,PELICULAS,2023,Melodía del mal (2023) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Piper/Melodía del mal (2023) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/8lrevAFLg3Sdn6E76cMSeBg3NJh.jpg,false,"Terror,Fantasía",,Piper,en,2023-10-27,0.469,16,13+,2025-03-14T15:51:51.082Z
6254ff4415,Piper,PELICULAS,2023,Melodía del mal (2023) 1080p WEB-DL SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Piper/Melodía del mal (2023) 1080p WEB-DL SUB.mp4,https://image.tmdb.org/t/p/original/8lrevAFLg3Sdn6E76cMSeBg3NJh.jpg,false,"Terror,Fantasía",,Piper,en,2023-10-27,0.469,16,13+,2025-03-14T15:51:51.082Z
0a2f0b2f5a,Nada más que la verdad,PELICULAS,2008,Nada mas que la verdad (2008) AMZN WEB-DL 1080p [SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Nothing But the Truth/Nada mas que la verdad (2008) AMZN WEB-DL 1080p [SUB.mp4,https://image.tmdb.org/t/p/original/ueJXKG3PFoDPEhcKtIjP52fCRQ5.jpg,false,"Drama,Suspense","En Washington, una periodista se enfrenta a una pena de cárcel por desvelar el nombre de un agente de la CIA y ocultar sus fuentes de información. Basada en el caso real de Judith Miller, periodista del New York Times que pasó 85 días en prisión por negarse a revelar sus fuentes. Preestrenada en el Festival de Toronto, por problemas económicos de la distribuidora no llegó a estrenarse en cines, pasando directamente en primavera del 2009 al mercado de DVD.",Nothing But the Truth,en,2008-12-19,3.532,15,13+,2025-03-14T15:51:52.831Z
0a2f0b2f5a,Nada más que la verdad,PELICULAS,2008,Nada mas que la verdad (2008) LAT.mp4,Resolución desconocida,Desconocido,false,https://www.innovatv.store/contenido/PELICULAS/Nothing But the Truth/Nada mas que la verdad (2008) LAT.mp4,https://image.tmdb.org/t/p/original/ueJXKG3PFoDPEhcKtIjP52fCRQ5.jpg,false,"Drama,Suspense","En Washington, una periodista se enfrenta a una pena de cárcel por desvelar el nombre de un agente de la CIA y ocultar sus fuentes de información. Basada en el caso real de Judith Miller, periodista del New York Times que pasó 85 días en prisión por negarse a revelar sus fuentes. Preestrenada en el Festival de Toronto, por problemas económicos de la distribuidora no llegó a estrenarse en cines, pasando directamente en primavera del 2009 al mercado de DVD.",Nothing But the Truth,en,2008-12-19,3.532,15,13+,2025-03-14T15:51:52.831Z
bf5ee57c39,Lluvia ácida,PELICULAS,2023,Tormenta ácida (2023) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Acide/Tormenta ácida (2023) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/91vF7SNB2tqsSultsmEn8tJYh4l.jpg,false,"Drama,Ciencia ficción,Fantasía","Durante una ola de calor, unas nubes extrañas comienzan a arrojar lluvia ácida, causando devastación y pánico en toda Francia. En un mundo al borde del abismo, una joven y sus padres divorciados deben unir fuerzas para tratar de escapar de esta catástrofe climática.",Acide,fr,2023-09-20,3.866,7,7+,2025-03-14T15:51:54.624Z
bf5ee57c39,Lluvia ácida,PELICULAS,2023,Tormenta ácida (2023) 1080p WEB-DL SUB.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Acide/Tormenta ácida (2023) 1080p WEB-DL SUB.mp4,https://image.tmdb.org/t/p/original/91vF7SNB2tqsSultsmEn8tJYh4l.jpg,false,"Drama,Ciencia ficción,Fantasía","Durante una ola de calor, unas nubes extrañas comienzan a arrojar lluvia ácida, causando devastación y pánico en toda Francia. En un mundo al borde del abismo, una joven y sus padres divorciados deben unir fuerzas para tratar de escapar de esta catástrofe climática.",Acide,fr,2023-09-20,3.866,7,7+,2025-03-14T15:51:54.624Z
5fcbc34afa,Dalia y el libro rojo,PELICULAS,2024,Dalia y el libro rojo (2024) 1080p WEB-DL Latino.mp4,1080p,latino,false,https://www.innovatv.store/contenido/PELICULAS/Dalia y el libro rojo/Dalia y el libro rojo (2024) 1080p WEB-DL Latino.mp4,https://image.tmdb.org/t/p/original/oyGyAQZOj7NzyLxCZX7FHKYELP1.jpg,false,"Aventura,Drama,Fantasía","Cuando los personajes de la novela que su padre nunca pudo terminar cobran vida y amenazan con tomar el control de la historia, Dalia es arrastrada a una fascinante aventura dentro de El Libro Rojo. Con solo 12 horas, una hoja en blanco y una pluma, Dalia, junto a una valiente cabra convertida en guía y compañera de viaje, debe encontrar la manera de escribir el final de la historia y decidir si desea convertirse en escritora, como su padre.",Dalia y el libro rojo,es,2024-10-17,0.274,7,7+,2025-03-14T15:51:56.572Z
cf5cfc8ada,Sobredosis de oro,PELICULAS,1988,Im.Gonna.Git.You.Sucka.1988.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Im Gonna Git You Sucka/Im.Gonna.Git.You.Sucka.1988.1080p.sub.mp4,https://image.tmdb.org/t/p/original/4PZ0CED293fkLjwhPOQ6BpbUgU2.jpg,false,"Comedia,Acción,Crimen","Comedia que parodia el género del blaxploitation de los años 70. Jack Spade regresa a su hogar tras su servicio militar, y se encuentra con la muerte de su hermano pequeño por ""sobredosis de oro"". El barrio no es el que era, y los proxenetas y los traficantes se han hecho los dueños. Jack, con la ayuda de unos vecinos, le va a plantar cara a Mr. Big, el amo del barrio. (FILMAFFINITY)",I'm Gonna Git You Sucka,en,1988-11-10,3.53,15,13+,2025-03-14T15:51:58.307Z
838d925704,Guilty Pleasure,PELICULAS,2024,Guilty.Pleasure.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,1080p,Desconocido,false,https://www.innovatv.store/contenido/PELICULAS/Guilty Pleasure/Guilty.Pleasure.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,https://image.tmdb.org/t/p/original/4G9uQJvSlcwswPaylRvrAXORJxK.jpg,false,"Romance,Drama",,Guilty Pleasure,tl,2024-10-16,0.158,,Desconocido,2025-03-14T15:52:00.119Z
53a7f7d839,फ़तेह,PELICULAS,2025,Fateh.2025.1080psub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Fateh/Fateh.2025.1080psub.mp4,https://image.tmdb.org/t/p/original/cw8DitAELYtWSD1P8yd0hzufVHj.jpg,false,"Acción,Crimen,Suspense",,फ़तेह,hi,2025-01-10,0.482,18,18+,2025-03-14T15:52:01.838Z
5aba74e4a7,Candidatul perfect,PELICULAS,2024,Candidatul.Perfect.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Candidatul Perfect/Candidatul.Perfect.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/ssQcMEcMiJqjv8alIx0781Zj4D9.jpg,false,Comedia,,Candidatul perfect,en,2024-10-25,0.337,,Desconocido,2025-03-14T15:52:04.306Z
fd60eee547,Suky,PELICULAS,2025,Suky.2025.1080psub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Suky/Suky.2025.1080psub.mp4,https://image.tmdb.org/t/p/original/yE55btmVfl8Q9uUm61Tj7xVkM44.jpg,false,"Acción,Drama",,Suky,en,2025-03-07,3.46,0,Infantil,2025-03-14T15:52:06.058Z
55c15b5c21,Séance Games - Metaxu,PELICULAS,2024,Seance.Games.Metaxu.2024.1080p.sub.mp4,1080p,Desconocido,true,https://www.innovatv.store/contenido/PELICULAS/Seance Games Metaxu/Seance.Games.Metaxu.2024.1080p.sub.mp4,https://image.tmdb.org/t/p/original/4CfL5wy0srwNLi6hP9EZVwSAX41.jpg,false,"Terror,Suspense,Crimen",,Séance Games - Metaxu,en,2024-02-13,0.2,,Desconocido,2025-03-14T15:52:07.815Z
